#{"t_start": 1780441073.3138206, "env_id": "None"}
r,l,t
245.271502,250,3015.034944
-99.529799,62,3021.945905
-213.270595,44,3029.708397
-49.885391,1,3032.756665
-60.198493,5,3036.226843
-159.960579,101,3050.25389
-111.069423,18,3055.156507
28.193162,144,3073.951511
-93.698057,35,3080.720187
-52.302475,1,3083.772304
-50.093571,1,3086.789704
-51.813324,1,3089.816628
49.026195,118,3105.788033
207.791315,184,3128.956442
306.119351,207,3154.692067
64.778291,159,3172.270847
-85.303971,16,3176.954366
-54.693625,6,3180.532327
333.580997,84,3192.761115
-47.447294,228,3217.981328
195.300561,250,3248.401622
40.109117,41,3253.009616
-51.800652,1,3256.055341
34.729888,119,3272.051784
47.290009,236,3300.988056
-90.815559,134,3315.980523
-15.965884,125,3332.773346
180.092319,70,3343.523939
202.852101,250,3371.497597
19.514074,70,3379.332554
469.729046,250,3410.014667
-140.429274,38,3414.278773
-54.018604,1,3417.304742
-49.512547,1,3420.315739
-52.417778,1,3423.346178
-51.236893,1,3426.379034
-49.489269,1,3429.408014
-52.036407,1,3432.449478
-54.322769,1,3435.49925
536.687868,250,3466.094653
256.317527,166,3484.515983
171.022487,96,3498.049636
-42.388734,250,3528.7256
10.670798,69,3536.408763
-138.227842,32,3542.894615
-75.710256,8,3546.721837
172.777113,65,3556.849457
381.804971,250,3584.585789
-240.015234,55,3590.718268
514.345751,250,3621.380591
335.534316,249,3649.082231
-51.313652,1,3652.107438
-53.107449,1,3655.169885
-54.412682,1,3658.182082
362.703553,250,3688.799351
-120.285952,40,3693.272956
-148.593271,31,3699.622379
-74.235466,35,3706.371135
-155.015167,28,3712.397164
-52.013454,1,3715.42504
-51.58633,1,3718.47741
-46.187011,9,3722.381922
-50.669308,1,3725.400786
-50.586468,1,3728.440715
25.821995,80,3740.154513
-77.442734,11,3744.287897
-49.76421,1,3747.339054
-30.821819,190,3771.252573
28.996266,106,3785.880249
415.150094,140,3804.274364
234.356486,141,3822.734801
-93.974589,13,3827.075863
467.012461,250,3857.471509
337.299097,250,3885.083759
-84.787798,7,3885.924609
-87.650771,13,3890.268451
88.359104,195,3914.603348
-64.757219,4,3917.940128
-52.610668,1,3920.974838
-52.724232,1,3923.998001
-52.527115,1,3927.011029
-53.897812,1,3930.030587
542.62565,166,3951.225995
124.525456,112,3963.711818
152.69378,129,3980.855157
210.710958,110,3995.830557
236.893793,250,4026.23063
-12.668704,133,4040.91954
-49.787575,1,4043.930534
-51.527305,2,4047.057146
20.730668,116,4062.813093
223.61442,96,4076.310494
-282.923084,250,4103.867403
26.84796,160,4121.535317
-50.647028,3,4124.773602
428.602259,250,4155.238055
-121.955141,25,4158.062206
-53.904526,1,4161.097248
-52.10693,1,4164.142442
-52.435455,1,4167.137536
-54.237823,1,4170.178177
19.872801,110,4185.190846
152.174501,218,4212.17615
420.67473,242,4238.861145
-52.990845,1,4241.898374
-53.746315,1,4244.932601
-53.949139,1,4247.953912
-52.481503,1,4250.990064
-52.069416,1,4253.998283
244.329286,250,4284.348935
208.03859,183,4304.578123
77.549492,142,4323.100164
-54.164902,1,4326.125671
-49.883434,1,4329.151828
652.766736,250,4359.589188
401.006812,250,4387.19101
-60.962489,141,4402.747198
47.996617,87,4415.254067
-54.940396,11,4419.374957
-94.283233,21,4424.597379
-233.077876,181,4447.402736
-49.860012,1,4450.448783
-51.76786,1,4453.454711
162.732066,250,4483.881264
474.580469,207,4506.801913
649.085508,171,4525.716264
104.716059,165,4543.9262
283.861219,203,4569.173803
584.03639,250,4599.600656
-210.700827,52,4605.35555
510.904663,230,4633.548547
280.255528,250,4661.230301
85.290597,115,4673.989835
-52.237946,1,4677.020301
-52.027027,1,4680.074232
-51.739986,1,4683.133001
-50.551182,1,4686.161127
-51.787014,1,4689.186162
-51.994705,1,4692.21064
-103.159246,19,4697.198182
-52.552097,1,4700.206494
-54.380512,1,4703.239065
-50.228783,1,4706.285443
-54.317135,1,4709.294492
-168.13781,35,4716.107687
-50.49242,1,4719.144615
112.381945,71,4729.873242
-45.048358,124,4746.471344
-51.688992,1,4749.515626
525.718103,174,4771.52924
-279.242354,76,4779.94514
-123.340642,15,4784.527784
-49.584137,1,4787.539202
-50.08075,1,4790.570055
-52.862732,1,4793.586163
-53.470516,1,4796.616121
-53.587505,1,4799.630908
-51.943272,1,4802.662441
230.744846,151,4822.126109
303.541552,250,4849.670731
75.019506,85,4859.105909
107.706862,145,4878.003218
244.980127,83,4890.064798
364.274122,242,4916.787929
274.545172,41,4924.197985
-95.94305,79,4932.964879
-48.89318,13,4937.304739
-139.96759,30,4943.493566
92.0996,202,4968.729234
-105.276532,39,4975.967007
-49.629745,1,4978.986329
-65.308737,29,4985.115213
-50.063992,1,4988.137473
140.954802,105,5002.610078
0.009076,58,5011.897169
-63.08465,9,5015.793823
-163.752165,39,5023.006306
187.517674,150,5042.494733
-121.97178,23,5047.959205
-95.150196,18,5052.843172
51.795111,94,5066.142079
375.627164,103,5080.479818
238.330959,250,5108.103504
-181.465331,53,5114.02541
805.121134,232,5142.516239
61.156575,250,5170.170303
144.6489,91,5180.250276
-53.117645,1,5183.288564
168.085879,148,5202.509729
-343.942836,123,5219.06027
386.45055,250,5249.480875
430.37953,250,5277.146242
311.225102,250,5304.66747
-89.663455,250,5332.228639
-19.124988,101,5343.421313
-53.354469,1,5346.459874
-51.999222,1,5349.498272
-51.555637,1,5352.504182
-56.134712,2,5355.635526
-53.649632,1,5358.649702
-50.406147,1,5361.684909
35.997406,178,5384.206944
-49.938629,1,5387.256233
-53.19368,1,5390.287029
489.188194,250,5420.742594
-50.85923,1,5420.900502
-53.894634,1,5423.940446
-50.495441,1,5426.944175
-146.622083,27,5432.833499
424.729543,96,5446.368062
-24.950684,31,5449.854652
-50.703041,1,5452.915878
-49.620613,1,5455.956763
-49.935192,1,5459.002964
-52.739555,1,5462.047039
-51.86676,1,5465.073465
-53.948563,1,5468.063858
400.672666,99,5481.902493
322.109327,139,5497.268039
-24.742627,58,5503.745765
-45.706998,136,5521.627659
-209.40449,62,5531.394228
-84.14121,26,5537.126403
-53.17041,1,5540.146762
-51.887978,1,5543.169699
505.231673,145,5562.079526
355.097544,250,5589.691561
506.429255,250,5617.321491
-83.499883,15,5619.03417
-96.861825,17,5623.855854
-68.384808,8,5627.657869
-75.840473,12,5631.89007
-214.033443,53,5640.648522
-114.480586,20,5645.783315
-99.278271,14,5650.268754
222.198804,156,5670.3906
272.403372,156,5690.509155
-54.421368,1,5693.506747
-53.742184,1,5696.552458
-87.746955,51,5705.057811
-53.071243,1,5708.104157
-50.628281,1,5711.117364
164.611956,231,5739.475871
340.742862,216,5766.250413
38.731775,114,5781.722015
-53.558128,1,5784.76694
-53.825375,1,5787.772068
99.168027,234,5816.535277
47.84798,110,5828.695575
356.351171,250,5859.182218
209.088763,158,5876.684772
53.529537,125,5890.567584
-47.341395,26,5896.333343
-83.690351,8,5900.105848
-65.556987,4,5903.449758
-53.614098,1,5906.482861
-52.958645,1,5909.509359
-55.443507,9,5913.411404
119.869034,138,5931.517727
457.509656,121,5947.762781
-782.516878,249,5975.212782
415.474334,118,5991.148559
118.279974,176,6010.614647
81.432235,192,6034.653118
-51.68264,1,6037.683197
-51.68681,1,6040.687252
-50.785385,1,6043.723619
182.537147,107,6058.390875
-22.674406,12,6062.63242
405.321365,100,6076.585185
642.098297,250,6104.206709
-190.196505,109,6116.273194
365.596422,125,6132.934283
537.547975,169,6151.660103
97.306984,250,6179.22864
614.917682,250,6206.85726
415.706366,138,6222.138386
74.12712,45,6227.141565
135.710254,202,6252.353664
308.718882,151,6271.855145
314.264098,114,6284.415242
182.249159,83,6293.614726
52.873069,142,6309.3214
290.902761,42,6316.856899
340.51884,184,6337.236914
-146.513301,24,6339.957503
-50.290733,1,6342.988155
115.443785,250,6373.479962
205.508123,50,6379.03605
-236.71973,102,6390.327904
-191.531372,44,6398.099126
-50.756432,1,6401.10861
-58.567711,120,6417.261326
161.39677,154,6437.063074
332.371897,114,6452.514201
-13.40811,250,6480.127038
775.058317,220,6504.431422
-148.971458,30,6507.817646
740.289207,245,6537.608707
371.417584,126,6551.553282
41.988517,250,6579.131393
329.229383,65,6586.313541
-253.835606,131,6600.826541
-229.874737,71,6611.56775
-83.002414,9,6615.449886
-59.572481,3,6618.693267
-53.422516,1,6621.749373
494.347123,250,6652.253491
-14.252927,181,6672.214321
-54.437466,1,6675.223003
-54.255642,1,6678.259118
-53.490944,1,6681.312358
-50.688381,1,6684.330291
-50.25563,1,6687.373491
395.447905,216,6714.060178
-57.523921,2,6714.329628
-48.947498,14,6718.77058
490.015836,250,6749.267907
56.326748,94,6759.69384
-463.30958,250,6787.277499
16.668245,192,6808.519482
-49.515144,1,6811.545488
-219.933193,250,6841.962641
-7.280813,174,6861.188098
258.694853,250,6888.804487
88.798243,250,6916.338487
-56.284784,12,6917.734081
152.648917,250,6948.186183
-170.795766,50,6953.754998
-70.214954,7,6957.455535
353.370648,250,6987.921616
245.627345,63,6994.912976
65.596746,109,7006.975316
-95.017637,106,7021.53549
-52.787529,1,7024.582235
-54.057724,1,7027.621104
-875.949482,250,7058.052859
-135.540753,22,7060.52606
-53.676051,2,7063.63952
-289.243058,101,7077.692666
286.583396,33,7084.202212
573.649058,144,7100.154439
586.763863,250,7127.872232
129.327498,130,7142.235813
214.839068,155,7162.172674
-27.53171,28,7168.222241
-54.59256,1,7171.25229
179.581858,136,7189.130517
-25.817693,21,7194.372181
307.913165,186,7217.698689
-24.160728,21,7220.051337
-53.409321,1,7223.073667
-50.517761,1,7226.089944
-53.286594,1,7229.126302
437.519024,80,7240.849827
7.138798,31,7244.34016
420.377166,164,7265.315263
-50.114227,1,7268.345693
-53.1898,1,7271.345228
214.469137,139,7289.623681
219.559402,181,7312.842902
-53.930103,1,7315.821932
196.333097,103,7330.153733
5.532258,20,7335.261433
-139.416495,34,7341.931341
-73.573226,13,7346.289824
-102.198249,24,7351.877019
-96.319555,17,7356.659733
340.988319,250,7387.4308
-131.23427,21,7389.847546
315.446909,219,7417.22247
222.871462,250,7445.122696
160.580757,240,7471.899073
-53.991798,1,7474.920444
-50.603992,1,7477.931686
-52.293194,1,7480.96018
-50.387001,1,7483.976866
-97.607997,17,7488.81024
-40.054984,15,7493.407786
-44.313728,11,7497.558877
-49.886372,1,7500.586934
-53.689867,3,7503.865259
-90.718381,20,7509.006857
-82.556306,16,7513.672955
-46.856223,21,7518.895998
199.576991,91,7531.977486
-21.272015,113,7544.607247
-48.495048,13,7548.987243
-117.236568,23,7554.504586
-49.823433,1,7557.534218
-50.131771,1,7560.550588
-50.530468,1,7563.584126
-54.356392,1,7566.619905
