#{"t_start": 1780030921.827414, "env_id": "None"}
r,l,t
-274.165601,35,8489.173928
-102.193252,1,8490.832778
-383.22217,62,8499.229232
-101.605196,1,8500.897482
-103.801017,1,8502.545971
-132.004894,11,8505.300435
-160.397107,19,8508.949522
-103.324085,1,8510.614031
-170.330581,60,8518.758319
-257.866382,63,8527.262311
195.641413,1,8528.912372
-207.158307,20,8531.156486
-197.00264,20,8534.895588
-103.795832,1,8536.547261
-237.338578,35,8541.951595
-279.665869,72,8551.449426
125.517842,35,8556.848036
-185.673098,37,8560.960538
-105.596621,1,8562.60726
-235.131523,22,8566.601424
-106.159265,1,8568.261084
-880.832118,135,8584.663895
-304.877658,34,8589.939949
-4282.463017,1899,8801.144995
-795.104004,150,8819.196048
-137.992887,17,8822.629581
-263.650292,121,8837.532869
-104.156049,1,8839.189044
-178.151086,13,8842.171776
-104.564849,1,8843.83342
-179.554658,14,8846.913366
-104.327962,1,8848.564487
-177.479035,14,8851.6499
-104.324775,1,8853.309916
-148.207542,53,8860.660251
-132.711512,24,8864.838339
-139.690249,25,8869.144723
-103.75233,1,8870.799513
-345.58174,188,8893.068484
-128.037128,10,8895.719595
-173.983334,18,8899.246051
-155.664822,14,8902.339158
-101.089459,1,8903.98292
-102.935502,12,8906.873771
-104.559245,1,8908.533046
-151.902887,12,8911.400177
-104.184864,1,8913.050363
-186.311575,16,8916.349026
-182.422108,18,8919.871495
-103.715597,1,8921.527629
-177.178002,42,8927.685963
-221.770197,20,8931.429995
-388.562327,151,8949.608529
-104.315414,1,8951.277858
-290.463247,32,8956.34203
-612.224088,82,8966.930236
-102.539712,1,8968.588921
-336.959123,33,8973.750774
-190.498648,11,8976.507853
-105.872727,1,8978.160298
-179.303674,12,8981.040464
-102.190611,1,8982.709954
-248.519951,154,9001.255335
-100.599955,1,9002.907199
-227.100314,122,9017.869884
-104.345732,1,9019.52527
-122.823403,22,9023.532829
-104.096527,1,9025.189757
-239.337119,24,9029.381823
-104.080039,1,9031.030668
-227.913135,21,9034.89324
-230.443166,29,9039.626514
-245.688166,23,9043.687572
-138.804182,15,9046.87892
