#{"t_start": 1780462071.1563911, "env_id": "None"}
r,l,t
104.294721,88,3761.01122
-64.675498,16,3765.674815
-53.064009,20,3770.778702
-68.67472,29,3776.867648
-60.202007,5,3780.32749
68.119976,185,3803.605849
-54.29488,1,3806.651545
-52.943253,1,3809.651878
196.158325,1,3812.699143
235.493571,250,3840.226989
107.445684,135,3855.18962
-137.788383,20,3857.468706
-56.123538,3,3860.701201
113.003716,207,3886.41081
-75.87411,12,3890.620447
-81.450395,7,3894.292873
-51.665623,1,3897.329749
-514.029695,250,3927.759533
-382.456039,222,3952.172287
-729.898577,250,3982.611103
-134.378898,250,4010.076434
-228.642431,168,4028.614678
283.373786,124,4045.233195
271.552727,64,4052.356134
315.683985,250,4079.988237
-42.240468,91,4090.032434
-57.783161,20,4095.125705
-50.251785,1,4098.154324
-68.179485,5,4101.619244
-53.636276,1,4104.633237
-52.013332,1,4107.692273
-53.255882,1,4110.744674
352.020995,197,4135.341717
-51.587578,1,4138.354724
-450.674573,117,4154.173778
141.685355,250,4184.514521
-131.311391,250,4212.016485
20.666661,250,4239.639726
326.616739,141,4255.185534
-92.240956,32,4258.758447
-50.085072,2,4261.870658
698.446728,220,4288.973053
-83.213078,7,4289.807957
-50.327229,1,4292.836706
-58.746993,2,4295.96715
-53.579861,1,4299.000132
-244.964174,250,4329.397278
-413.914984,94,4339.806008
-53.289295,1,4342.839072
69.669009,147,4361.941845
232.235337,164,4382.869254
193.206382,76,4391.280901
-205.62365,250,4418.846432
-151.451948,21,4421.214143
452.23399,203,4446.426321
15.817758,250,4473.987131
273.372306,101,4485.21505
302.101348,250,4512.749707
3.811104,83,4521.945801
5.001958,189,4545.659643
261.598365,250,4576.106992
171.713909,250,4603.685985
17.277053,68,4611.248114
281.7145,250,4641.680246
-108.982102,12,4643.038769
325.562189,221,4670.310925
157.385876,96,4680.97939
366.036438,77,4689.557992
214.819617,168,4708.088646
222.478225,26,4713.847574
271.587145,45,4718.854401
-150.30032,146,4734.984879
233.329047,250,4765.457107
70.115085,158,4782.9182
-63.223325,4,4786.276429
-31.69058,30,4792.518919
105.920021,250,4822.982845
-6.379518,148,4839.332294
-115.229151,16,4843.995378
-78.237755,28,4849.986691
210.250721,250,4880.342396
-77.528414,8,4881.312525
231.889585,184,4904.493036
-29.292867,30,4907.81919
-52.750103,1,4910.827987
-53.550209,1,4913.844728
25.838793,158,4934.109556
263.12946,160,4954.607595
49.244949,250,4985.06906
50.473977,107,4996.862411
332.891182,131,5014.222306
67.859678,250,5041.732271
-89.462031,250,5069.369274
209.518779,250,5096.937679
-72.651218,35,5100.822163
-52.536961,1,5103.856255
-49.93375,1,5106.875218
-53.274166,1,5109.912975
-74.7078,5,5113.356625
-51.707264,1,5116.374731
-51.336197,3,5119.595854
-32.229886,31,5125.898391
316.210502,250,5156.348876
-13.969579,250,5183.88912
-86.058784,7,5184.76042
305.533923,102,5198.925764
-127.800016,250,5226.485059
-597.214614,227,5251.485491
-54.311184,1,5254.525164
167.553417,151,5274.083598
390.548934,250,5304.394339
206.103939,250,5331.968813
283.12292,250,5359.552606
-260.156725,50,5365.12579
168.705791,139,5383.331675
-106.792255,62,5393.078056
360.112808,250,5423.528422
-21.339343,137,5438.67656
-51.089985,1,5441.721025
-50.142647,1,5444.773115
-52.013595,17,5449.585835
-53.471279,1,5452.614901
-50.049286,1,5455.645158
-51.201885,1,5458.659558
-50.783783,1,5461.681006
-50.390873,1,5464.701813
-145.077761,111,5479.800128
-40.843883,12,5484.041644
-49.934856,1,5487.066663
-47.547581,1,5490.109383
462.689633,213,5516.513829
262.96937,250,5544.102017
55.767544,88,5553.887243
152.582804,199,5578.667897
-53.92104,1,5581.707489
129.709067,250,5612.1326
-16.021007,170,5630.931103
-62.213101,5,5634.40485
-33.037066,27,5640.320058
113.065763,229,5668.375571
-53.602558,1,5671.407197
249.759867,159,5691.789392
-148.420184,196,5713.419761
-213.099789,46,5721.40268
200.906314,87,5733.869485
344.648969,181,5753.850473
300.826642,250,5781.515379
204.986115,93,5791.805529
220.031515,234,5817.572416
-70.110636,140,5833.037877
-45.98576,55,5842.01056
36.126749,115,5857.545844
-54.115051,1,5860.592308
-170.977985,48,5868.792554
-51.603386,1,5871.802106
-35.955944,21,5877.019885
-155.061473,250,5907.4966
-0.101656,94,5917.92077
545.192242,142,5936.483575
-329.959626,146,5952.63156
501.191423,250,5983.035532
220.793809,155,6000.145191
107.307046,231,6025.639749
65.989667,250,6056.156329
155.187926,186,6076.803771
-160.085102,32,6083.249751
-52.239948,1,6086.289547
-124.490439,19,6091.317452
-38.9741,14,6095.801949
-54.358582,1,6098.818718
-90.744678,12,6103.044181
-87.659355,20,6108.169558
-53.632599,1,6111.199627
-50.739151,1,6114.227198
89.680263,101,6128.259025
339.910148,250,6155.858984
188.86943,231,6181.419551
19.985003,41,6188.83862
-68.997497,17,6193.652954
-50.635971,1,6196.671884
-49.99622,1,6199.705201
242.244247,192,6223.82028
-107.113811,13,6228.1918
462.852781,169,6249.696043
495.546176,195,6271.16796
311.019193,250,6298.709603
-158.073635,250,6326.230811
-42.853465,122,6339.724772
-50.020451,1,6342.745214
296.222036,150,6362.184773
-89.279516,15,6363.900258
-53.142258,1,6366.953322
-85.872607,11,6371.075591
267.055508,154,6390.953906
352.840618,75,6399.271109
288.58425,250,6426.872597
82.167616,104,6438.366447
481.91561,250,6468.802799
198.708771,1,6468.993828
-178.785991,107,6480.872112
381.311164,172,6502.726983
104.244944,250,6530.290981
277.890666,95,6540.87021
-199.047606,64,6547.94195
56.36169,98,6561.623582
333.77206,166,6579.958816
55.156494,250,6607.555492
277.641496,250,6635.121592
318.024425,250,6662.740705
61.094845,247,6690.005823
-62.066483,3,6693.27282
-186.879053,224,6720.75464
-52.729485,1,6723.784524
141.529337,170,6745.358037
-130.076871,22,6750.70311
375.348828,250,6781.137577
134.672406,114,6793.762139
-51.364075,1,6796.808991
38.690628,250,6827.21522
31.064883,138,6842.438207
-50.43906,1,6845.44717
-51.69331,1,6848.459753
198.372501,4,6851.807257
-629.284078,250,6879.343136
20.2343,91,6889.419988
248.646828,135,6907.300676
-53.965214,1,6910.330759
445.88757,250,6940.754744
-189.080819,62,6947.697675
-189.147326,78,6959.202226
-54.293453,1,6962.233968
66.972933,115,6977.79249
-51.29565,1,6980.827311
-53.404335,1,6983.860194
97.029479,141,7002.30545
-64.218921,5,7005.764935
529.83703,121,7021.985135
-119.57481,30,7025.370949
-68.970975,7,7029.055969
-51.02364,1,7032.077445
-53.010513,1,7035.095344
-22.381814,73,7046.080143
94.867464,250,7076.49191
190.155863,129,7090.784195
-60.02444,4,7091.285532
-70.717726,14,7095.788108
107.631094,86,7108.155793
-55.160821,250,7138.550379
187.638629,20,7140.813221
-70.906423,65,7148.029387
-121.256178,35,7154.848914
-54.071487,1,7157.871829
-75.438362,7,7161.578667
-51.589588,1,7164.61764
-49.989342,1,7167.670789
-612.030519,250,7198.14887
153.956437,121,7211.531709
-70.250873,10,7215.575048
549.670371,197,7240.163609
-142.536219,73,7248.276468
-67.21737,9,7252.199432
187.572743,175,7274.360835
-807.269511,250,7304.808237
-736.784103,250,7332.454674
-474.396575,167,7350.872653
-76.888789,12,7355.091513
-53.732872,1,7358.137493
-69.330174,12,7362.427394
-54.046116,1,7365.460756
-248.525241,69,7375.990898
-52.610203,1,7379.025777
-369.637562,143,7397.619645
-83.382849,22,7402.980901
-51.775085,1,7406.028057
-249.893132,80,7417.708629
-592.409068,250,7448.158433
-68.650317,12,7449.53929
-183.166753,85,7461.786
-51.446575,1,7464.839165
-49.889565,1,7467.867713
-337.416739,250,7498.290802
-229.359748,73,7506.403543
-127.073067,32,7512.834841
-53.274837,1,7515.844016
-112.06655,29,7521.93884
-63.888532,6,7525.51799
-41.565465,16,7530.21431
-51.133518,1,7533.264018
-67.669916,17,7538.051352
-49.72089,1,7541.07303
-49.517954,4,7544.416508
-56.017248,9,7548.293755
-54.384254,2,7551.429441
-52.232399,4,7554.775873
-69.237918,15,7559.367928
-72.746416,52,7568.0031
-52.273819,1,7571.033694
-49.880928,1,7574.05962
-114.505558,200,7599.012771
-53.600529,1,7602.052226
-50.818821,1,7605.071375
-92.097142,13,7609.405973
-412.849535,244,7639.076764
348.013285,250,7669.496475
-7.114171,110,7681.676216
-126.701728,53,7690.406367
-52.652263,2,7693.565509
-453.973545,86,7705.937248
417.046614,209,7731.858856
-53.83432,1,7734.915543
219.943145,99,7748.68771
34.05679,101,7759.887786
385.887527,213,7786.264519
221.723747,124,7800.012282
265.634235,86,7809.511303
133.213421,92,7819.686573
-50.893452,1,7822.750476
325.454488,164,7843.678634
11.932478,121,7857.063356
-124.185413,21,7862.290442
-51.721478,1,7865.307164
-50.811123,1,7868.355236
-51.563366,1,7871.371264
262.72733,52,7880.041926
-382.082211,87,7889.690646
-52.321533,1,7892.72261
-54.608486,1,7895.766065
-61.670884,3,7899.054493
548.44104,218,7925.991779
-55.290073,80,7934.859569
-53.281194,4,7938.196749
281.785419,189,7961.932308
155.324044,145,7980.805637
-71.053249,15,7985.395932
-132.159899,23,7990.821928
503.302516,137,8008.834476
122.973696,135,8023.776681
177.386174,160,8044.256639
-53.142597,1,8047.297214
-53.675648,1,8050.321637
