#{"t_start": 1780426186.3061235, "env_id": "None"}
r,l,t
-362.276154,111,2416.553538
82.24665,203,2441.772905
-97.493032,16,2446.48922
-52.113079,1,2449.507967
-54.589752,1,2452.542953
557.018242,250,2482.965127
-99.337566,10,2484.134331
-52.515869,1,2487.142027
-53.387363,1,2490.180051
-57.750326,3,2493.456239
-53.881351,1,2496.500329
-53.961739,1,2499.510463
-52.783937,3,2502.760527
-54.05471,1,2505.818383
-51.704689,1,2508.850395
-53.022865,1,2511.894323
-51.121269,1,2514.927438
-52.674824,1,2517.945105
-53.904125,3,2521.22479
242.205073,181,2544.08077
-50.585388,1,2547.100438
326.613259,73,2558.072607
-138.15461,17,2560.031734
-62.847539,128,2577.084623
16.318294,80,2588.802201
-52.275829,1,2591.858731
-53.351429,1,2594.910409
-53.688747,1,2597.914844
-53.792397,1,2600.960049
-53.277794,1,2603.989178
-52.321594,1,2607.00062
-171.274279,36,2613.900106
-42.187834,8,2617.69444
717.164891,176,2640.020457
17.457784,175,2659.324225
-31.106935,71,2670.040765
-51.508419,1,2673.059735
-53.820877,1,2676.09294
-51.000118,1,2679.136727
-53.84325,1,2682.183672
-51.447964,1,2685.188943
271.659617,34,2691.844275
50.970287,95,2702.353078
-150.415953,42,2709.886972
-38.009288,9,2713.825239
-354.750538,250,2744.306946
-134.324702,40,2748.754086
-55.589201,14,2753.192316
-57.426631,9,2757.091694
-4.640798,79,2768.728586
-137.110755,61,2778.346741
-52.374409,1,2781.35056
-54.083256,1,2784.353774
-49.732716,1,2787.368444
-58.396669,4,2790.731509
-51.714622,1,2793.744504
-54.729988,1,2796.782143
-50.172947,1,2799.821473
-51.380302,1,2802.855313
-206.333402,109,2817.788719
470.783964,220,2844.962937
-119.243782,14,2846.545689
-77.890647,51,2855.11003
440.074024,221,2882.370999
-49.750607,1,2885.393456
-54.321983,1,2888.43522
-49.978928,1,2891.478508
-58.371244,4,2894.83161
-490.268513,250,2925.239009
-623.899543,221,2949.606246
13.070426,196,2974.117388
510.92949,140,2992.495029
296.440762,113,3004.969686
136.9377,61,3011.738526
-240.903626,117,3027.525224
-485.734538,120,3043.643734
78.658369,89,3056.427371
290.328859,100,3070.338376
-55.707213,13,3071.797994
-50.242729,1,3074.827302
-50.336449,1,3077.859012
-51.797874,1,3080.863971
-9.929597,137,3098.853571
-48.856646,2,3101.9839
32.94179,125,3118.699755
-54.110962,1,3121.732481
-51.454639,1,3124.757667
-51.114925,1,3127.810356
-51.485996,1,3130.85129
-72.978295,20,3136.006
-49.699275,4,3139.392828
-53.677727,1,3142.43133
-52.243305,1,3145.463883
-53.90255,1,3148.471369
-50.474551,7,3152.147206
-51.735363,1,3155.16021
-53.318867,1,3158.176431
-117.097547,20,3163.338216
368.941448,155,3183.514616
153.436197,241,3210.430875
-49.60165,1,3213.45282
-51.531929,1,3216.481681
-28.716063,124,3233.069869
60.237421,98,3246.91125
23.291423,120,3263.216192
-52.627392,1,3266.234898
-52.255577,1,3269.26409
-50.176239,1,3272.29592
-49.865704,1,3275.331612
-53.942371,1,3278.365329
-24.873225,46,3286.421594
200.590706,121,3302.81849
-54.151108,1,3305.862687
-52.038765,1,3308.891569
-52.520264,1,3311.9152
-53.007263,1,3314.923798
-50.866802,1,3317.965243
-52.960487,1,3321.002826
-51.464684,1,3324.035628
-49.474056,1,3327.053383
-50.126598,1,3330.063702
-138.122824,17,3334.894519
-52.040947,1,3337.943317
-50.546651,2,3341.098362
-167.351167,30,3347.337163
256.476854,118,3363.429379
-92.692571,250,3391.452476
-210.936766,85,3400.947464
-53.45837,1,3403.979695
411.953753,185,3427.608382
-53.430099,1,3430.63639
-54.926296,2,3433.759149
-52.842243,1,3436.81291
-50.620167,1,3439.870625
-50.078476,1,3442.88482
-55.510504,2,3446.045161
-51.25523,1,3449.087344
-50.965397,1,3452.120599
-54.084896,1,3455.147322
44.432636,166,3476.577346
-53.151493,1,3479.615807
-53.498955,1,3482.634276
-50.346889,1,3485.675951
-52.698509,1,3488.69846
-52.547298,1,3491.717513
-50.330624,1,3494.770126
-287.215792,132,3512.409359
-59.027209,15,3517.038055
