#{"t_start": 1780009368.3415194, "env_id": "None"}
r,l,t
-533.416099,144,3429.493448
-779.41688,215,3454.768326
-130.365762,13,3457.766043
-104.443892,1,3459.43168
-369.693493,97,3471.686021
-101.645911,1,3473.351471
-132.948493,23,3477.424142
-103.249546,1,3479.08576
-274.221808,87,3490.23184
-121.780964,17,3493.645595
-177.902365,17,3497.073824
-1339.516973,425,3545.403207
-335.321971,129,3561.207935
-131.675982,13,3564.212414
-102.966886,1,3565.88381
-115.695847,11,3568.633277
-115.194918,9,3571.18373
-247.439919,29,3575.928581
-116.406691,20,3579.683521
-103.277017,1,3581.335617
-1356.783613,267,3612.358507
-1065.650503,340,3651.415323
-108.895574,9,3653.962982
-167.778605,21,3657.870132
-102.600004,1,3659.538755
-120.342337,43,3665.817638
-102.787162,1,3667.467222
-122.682739,16,3670.797336
-102.220293,1,3672.456527
-151.68129,24,3676.662614
-101.654254,1,3678.321826
-1622.482538,286,3711.464319
-104.483682,1,3713.122936
-211.347794,23,3717.251079
-101.210531,1,3718.911746
22.107369,238,3746.822731
-272.615012,185,3767.334315
-261.318338,51,3774.475934
-113.801864,6,3776.691124
-134.14649,17,3780.106266
167.978884,31,3785.068758
-861.875147,210,3808.251072
-180.577576,15,3811.437084
-138.87547,15,3814.659105
-153.330567,18,3818.199964
-110.282985,150,3836.227944
-127.922006,49,3841.661986
-104.723905,10,3844.309334
99.015733,72,3853.814949
-210.764215,37,3857.931028
-617.758971,195,3880.940725
230.351534,146,3898.602782
-167.657521,163,3916.609189
-110.809972,16,3919.92582
-100.939959,1,3921.586147
-885.360471,277,3953.693207
-246.393241,53,3961.07725
-102.020967,1,3962.739595
-217.602033,22,3966.70809
-161.741568,42,3972.900443
-2006.469082,567,4037.000049
-102.560656,1,4038.659338
-107.303944,22,4042.633852
-103.870443,1,4044.284922
-1651.496356,569,4108.691198
-113.413945,11,4111.47988
-137.95176,11,4114.213188
227.967356,51,4121.385936
-263.786003,89,4131.226013
