#{"t_start": 1780352783.8458261, "env_id": "None"}
r,l,t
-58.367549,10,1856.984057
-106.272395,19,1862.050737
-44.906803,17,1866.876723
-50.113316,1,1869.908931
-50.808296,1,1872.931873
-50.168118,1,1875.953438
-53.589095,2,1879.086513
-50.382168,1,1882.13061
-54.53381,1,1885.158951
-50.984547,1,1888.208822
-49.649147,1,1891.259087
-63.193971,20,1896.395363
-47.348664,7,1900.095947
-83.812105,11,1904.24651
-49.979603,1,1907.29389
-52.405941,1,1910.305899
-80.66573,19,1915.413833
-50.276943,1,1918.465035
-50.235367,1,1921.51407
-63.028324,16,1926.28197
-51.402267,1,1929.335113
-54.561184,1,1932.3472
-49.946587,1,1935.39649
-51.726078,1,1938.42656
-86.125656,20,1943.53966
-52.265577,14,1948.012882
-157.550014,36,1954.937272
-54.187276,6,1958.54172
-50.886462,3,1961.792399
-51.542194,1,1964.834029
-50.574295,1,1967.888324
221.296187,141,1986.493606
-67.993865,36,1990.565529
-41.208711,15,1995.17023
70.05353,250,2025.846807
-81.461346,15,2027.591839
-77.189301,7,2031.276762
-52.678333,8,2035.081138
-52.772297,1,2038.078586
-54.417042,1,2041.106336
-51.901875,1,2044.148457
-117.152627,21,2049.394234
-55.202211,4,2052.732518
-3.372025,104,2067.252868
-93.664048,19,2072.273247
81.020789,205,2097.962109
222.760196,195,2119.63324
-153.500343,43,2124.445169
-82.132708,52,2133.124639
-49.033276,151,2152.927745
-68.36301,9,2156.821905
-51.198105,1,2159.871507
63.790757,85,2172.208196
-13.473171,46,2180.240713
-275.36214,138,2198.477877
-50.266872,1,2201.500464
-52.818993,1,2204.552204
-51.239124,1,2207.577384
-54.183193,1,2210.611473
-54.335449,1,2213.659184
-52.851608,1,2216.692551
-40.177745,50,2225.158707
-50.314072,1,2228.196891
-51.915865,3,2231.42032
-50.314648,1,2234.461375
-50.982361,1,2237.466921
-52.537277,1,2240.498457
-52.226111,3,2243.745753
-50.337902,1,2246.770818
-88.849151,65,2256.916579
171.138634,250,2287.7322
68.695777,201,2310.085802
-72.16788,6,2313.655772
-49.734062,1,2316.690401
-53.277008,1,2319.703548
-177.118995,78,2331.248234
-53.676037,1,2334.267904
-3.594473,71,2345.12499
-51.378559,1,2348.157778
-59.30427,4,2351.542785
-50.007069,1,2354.558675
-52.356808,2,2357.666058
94.78319,138,2375.900149
-51.839539,1,2378.923814
-53.155418,1,2381.956062
128.548645,250,2412.599206
-70.920454,5,2413.246088
427.187364,189,2437.116103
160.306632,149,2453.751143
93.859062,141,2469.47982
-52.70179,1,2472.475614
-54.504063,1,2475.511769
-54.444546,1,2478.522451
-135.867684,67,2488.875254
-47.226792,4,2492.247275
-50.241562,1,2495.268608
-50.198986,1,2498.27358
-52.634373,1,2501.313533
-50.109161,1,2504.355985
-31.02099,178,2527.067071
-89.54249,21,2532.299824
-57.656376,9,2536.19479
-50.413048,1,2539.209746
-49.767937,1,2542.244458
-50.833778,1,2545.274219
-44.486114,21,2550.535117
-69.074242,8,2554.331677
-115.38377,14,2558.796956
-51.66106,1,2561.808533
-49.74239,1,2564.815031
-52.641006,1,2567.832405
-53.512817,1,2570.837448
-106.703367,107,2585.659981
194.614947,132,2603.319206
-212.136482,46,2608.450108
-152.658653,27,2614.385208
-143.732005,34,2621.100265
-132.081658,18,2626.011072
-110.58625,12,2630.298866
105.487278,250,2660.989899
104.666053,108,2673.059572
-105.409303,25,2678.749749
-77.349559,138,2697.039321
-91.61999,40,2704.402727
-50.249542,1,2707.425876
-53.928577,1,2710.450678
-89.010691,22,2715.790945
-54.177082,1,2718.774624
-54.341133,1,2721.799306
6.731807,81,2733.736545
-63.642752,3,2736.991564
-37.554622,89,2749.795606
14.134666,200,2774.952021
-72.282334,11,2776.207399
-53.043506,64,2786.224984
-53.852272,1,2789.254915
-52.413662,1,2792.299054
-51.137253,1,2795.342623
-114.167111,18,2800.221411
-75.827072,10,2804.224419
-50.312874,1,2807.252172
-52.577763,1,2810.285499
-53.152031,1,2813.316571
-50.377464,1,2816.385993
-33.685708,57,2825.66712
-96.426665,84,2837.857985
-95.820379,16,2842.546863
-47.883724,1,2845.560026
-50.562765,2,2848.732857
-8.408909,86,2861.195871
-799.360934,250,2891.788171
-69.442684,103,2903.326522
-54.236729,1,2906.375681
31.081267,250,2937.057483
-101.928276,133,2951.900297
-53.063309,1,2954.916689
-53.150772,1,2957.918969
-65.178659,18,2962.852946
-54.74617,1,2965.920248
-52.98378,1,2968.940252
-66.462533,5,2972.453475
-49.768982,1,2975.495531
-54.54237,1,2978.52137
-51.161575,1,2981.53725
-53.977692,1,2984.534422
-54.656605,1,2987.587267
-52.973503,1,2990.59628
-127.880466,82,3002.628563
-53.235283,1,3005.671561
-55.576963,4,3009.000484
-49.971886,1,3012.046966
-49.788521,1,3015.076416
-53.074965,23,3020.556222
-92.54414,13,3024.894233
-50.567368,1,3027.946116
-61.492994,13,3032.311044
-53.731613,1,3035.359264
-68.380507,6,3038.980483
-49.899075,1,3042.010324
-50.160965,1,3045.046388
-108.345475,21,3050.320739
-49.812141,1,3053.343655
-51.482918,1,3056.376935
-54.346893,1,3059.399066
-50.471992,1,3062.443056
-50.458916,1,3065.49596
-49.392136,1,3068.515418
-49.782426,3,3071.789209
-79.788267,34,3078.479806
-53.634661,10,3082.515043
-102.638466,18,3087.462961
-53.54594,1,3090.486538
-52.819225,1,3093.528212
-50.421814,1,3096.574315
-46.60954,9,3100.484691
-102.709853,18,3105.398351
-50.474957,1,3108.435628
-52.736462,1,3111.483592
-117.861481,19,3116.497761
-55.97938,5,3120.011782
-52.097015,1,3123.04858
-50.728043,1,3126.064689
-51.228054,1,3129.09196
-50.47105,1,3132.115243
-100.280468,16,3136.785896
174.856437,37,3143.814549
-10.962004,45,3148.845649
-85.956012,18,3153.783142
-74.374687,15,3158.38462
-51.474663,1,3161.433327
-13.573937,39,3168.637474
105.519549,192,3192.831216
-54.415607,1,3195.883934
-52.598392,1,3198.903957
-13.708028,177,3221.502618
-49.925407,1,3224.551967
-51.031635,1,3227.585521
-53.543896,1,3230.635972
-53.510235,1,3233.673324
-57.913957,16,3238.326255
-71.8156,5,3241.804789
